,tanggal,akumulasi_aktif,akumulasi_sembuh,akumulasi_meninggal
289,2021-01-01,3349,75480,6435
290,2021-01-02,3365,76158,6504
291,2021-01-03,3351,76693,6553
292,2021-01-04,3474,77194,6602
293,2021-01-05,3586,77695,6663
294,2021-01-06,3430,78601,6714
295,2021-01-07,3668,79161,6795
296,2021-01-08,3950,79786,6865
297,2021-01-09,4323,80377,6916
298,2021-01-10,4396,81195,6972
299,2021-01-11,4709,81681,7018
300,2021-01-12,4746,82408,7086
301,2021-01-13,4673,83291,7161
302,2021-01-14,4847,84057,7227
303,2021-01-15,5246,84843,7296
304,2021-01-16,5707,85551,7344
305,2021-01-17,5797,86317,7394
306,2021-01-18,5918,87021,7432
307,2021-01-19,6136,87697,7484
308,2021-01-20,6317,88397,7543
309,2021-01-21,6473,89312,7594
310,2021-01-22,6654,90125,7646
311,2021-01-23,6670,91010,7680
312,2021-01-24,6756,91775,7724
313,2021-01-25,6885,92501,7759
314,2021-01-26,7017,93247,7814
315,2021-01-27,7292,94017,7858
316,2021-01-28,7528,94770,7903
317,2021-01-29,7559,95703,7936
318,2021-01-30,7571,96507,7974
319,2021-01-31,7679,97217,8007
320,2021-02-01,7384,98145,8043
321,2021-02-02,7224,99064,8093
322,2021-02-03,7217,99726,8157
323,2021-02-04,6881,100600,8214
324,2021-02-05,6738,101434,8275
325,2021-02-06,6691,102112,8337
326,2021-02-07,6531,102809,8369
327,2021-02-08,6419,103561,8395
328,2021-02-09,6493,103909,8419
329,2021-02-10,6695,104293,8440
330,2021-02-11,7245,104748,8488
331,2021-02-12,7350,105325,8580
332,2021-02-13,7384,105815,8614
333,2021-02-14,7465,106211,8652
334,2021-02-15,7390,106682,8688
335,2021-02-16,7559,106970,8705
336,2021-02-17,7859,107235,8719
337,2021-02-18,8011,107620,8741
338,2021-02-19,7926,108255,8765
339,2021-02-20,7949,108827,8796
340,2021-02-21,7835,109363,8822
341,2021-02-22,7583,110009,8863
342,2021-02-23,7603,110501,8899
343,2021-02-24,7458,111197,8928
344,2021-02-25,7418,111759,8963
345,2021-02-26,7342,112359,8983
346,2021-02-27,7323,112803,9004
347,2021-02-28,7062,113363,9029
348,2021-03-01,6958,113785,9051
349,2021-03-02,6696,114437,9072
350,2021-03-03,6623,114915,9097
351,2021-03-04,6563,115356,9119
352,2021-03-05,6506,115804,9134
353,2021-03-06,6409,116270,9159
354,2021-03-07,6340,116650,9176
355,2021-03-08,6233,117060,9200
356,2021-03-09,6171,117494,9222
357,2021-03-10,6071,117973,9242
358,2021-03-11,6011,118359,9257
359,2021-03-12,5913,118777,9272
360,2021-03-13,5878,119140,9290
361,2021-03-14,5929,119353,9304
362,2021-03-15,5874,119645,9324
363,2021-03-16,5891,119894,9348
364,2021-03-17,5120,120900,9434
365,2021-03-18,4601,121720,9472
366,2021-03-19,4502,122079,9517
367,2021-03-20,4384,122412,9590
368,2021-03-21,4103,122963,9612
369,2021-03-22,4023,123285,9640
370,2021-03-23,3862,123656,9668
371,2021-03-24,3563,124221,9691
372,2021-03-25,3545,124566,9712
373,2021-03-26,3458,124969,9737
